Alternatíva az atomenergiára,Calla,České Budějovice,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Nukleáris hulladék kockázataiA CALLA szemléletformáló kampányánban a nukeláris fűtőanyag életciklusát és annak gazdasági vonatkozásait bemutatva hívja fel a figyelmet az atomenergia kockázataira.,4 000 EUR
Alternatíva az atomenergiára,Calla,České Budějovice,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,1 350 EUR
Alternatíva az atomenergiára,Energia Klub Környezetvédelmi Egyesület,Budapest,"Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Kérdések a paksi erőmű élettartam meghosszabbításárólAz energiaellátás kérdésében a magyar kormány az utóbbi időkben egyre inkább az atomenergiát látszik támogatni a fenntartható megoldások ellenében. Mióta a paksi erőmű első blokkja 2012-ben megkapta az üzemidő hosszabbításra vonatkozó engedélyt, az erőmű két új egységgel való bővítése került a fókuszba. Mindeközben folyamatban van a maradék három blokk üzemidő hosszabbítása is. Ezen lépéseket követi nyomon és véleményezi folyamatosan az Energiaklub, együttműködve a zöld pártokkal és civil szervezetekkel.",7 650 EUR
Alternatíva az atomenergiára,Energia Klub Környezetvédelmi Egyesület,Budapest,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,3 350 EUR
Alternatíva az atomenergiára,Foundation for Environment and Agriculture,Nikopol,"Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Tájékoztatatás a stressz tesztrőlA FEA a nukleáris stressz tesztek eredményeiről tájékoztatja a nyilvánosságot és közvéleménykutatást készít arról, hogy a fukushimai katasztrófa után mit gondolnak az emberek a nukleáris kockázatokról. A projekt emellett felhívja a figyelmet a Belene és a Kozloudy 7 Atomerőművek építési és üzemidő hosszabbítási terveinek részleteire.",3 770 EUR
Alternatíva az atomenergiára,Foundation for Environment and Agriculture,Nikopol,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,1 675 EUR
Alternatíva az atomenergiára,Social Ecological Institute,Warszawa,"Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Civil nukleáris monitoringA Civil Nukleáris monitoring projektben a folyamatban levő lengyelországi atomerőmű beruházásokról közöl információkat a Social Ecological Institute civil szervezet. Célja, hogy átfogó és átlátható képet mutasson a nukleáris tervekről, bemutatva azok hiányosságait és az európai társadalomra, gazdaságra és környezetre gyakorolt hatásait.",2 700 eur
Alternatíva az atomenergiára,Social Ecological Institute,Warszawa,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,1 300
Alternatíva az atomenergiára,South Bohemian Mothers,České Budějovice,"Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Hírlevél a kiegyensúlyozott tájékoztatásértA cseh szervezet a dukovany-i atomerőmű tervezett meghosszabbításával kapcsolatos tájékoztatásra koncentrál projektjében, Dukovanyról szóló hírekkel egészíti ki hírlevelét melyet levelező listájának kiterjesztésével minél több az erőmű környékén élő embernek eljuttat.",2 750 EUR
Alternatíva az atomenergiára,TERRA Mileniul III,Bucuresti,"Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Nukleáris fejlesztések ellenőrzése RomániábanA projekt során a romániai civil szervezet a következő tevékenységéket végzi társadalmi ellenőrzés keretében: Figyelemmel követi a Radioaktív Hulladék Irányelv átültetését és a Saligny végleges radioaktív hulladéklerakó építését, részt vesz az utóbbi folyamat társadalmi konzultációjában (amennyiben elkezdődik). Nyilvánosságra hozza a folyamatban levő romániai stressz teszt mérések eredményeit és információkat gyűjt és közöl a romániai nukleáris (tárolási és leszerelési ) pénzalapokról. Igyekszik megállítani a további atomenergia fejlesztést célzó beruházásokat (Cernavoda erőmű 3-as és 4-es blokkja, melyek nemrég kapták meg környezeti engedélyüket).",7 600 EUR
Alternatíva az atomenergiára,TERRA Mileniul III,Bucuresti,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,1 200 EUR
Alternatíva az atomenergiára,Za Zemiata,Sofia,"Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Kampány az új erőművek ellenA Za Zemiata a Kozloudy erőmű bővítése (Kozloudy 7), a meglévő egységek (6,7) engedélyeinek hosszabbítása és a Belenei Erőmű többször leállított építkezésének újrakezdése ellen szervez kampányt.",3 855 EUR
Alternatíva az atomenergiára,Za Zemiata,Sofia,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,3 855 EUR
Alternatíva az atomenergiára,South Bohemian Mothers,České Budějovice,Nukleáris kockázat és társadalmi ellenőrzés 2013-14 / Közös projekt,1 450 EUR
